FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
966513|Stone Quarry Hill|Summit|NY|36|Otsego|077|423756N|0744114W|42.6322978|-74.6870919|||||669|2195|South Valley|01/23/1980|
966514|Stone Quarry Hill|Summit|NY|36|Madison|053|425442N|0755006W|42.9117336|-75.834913|||||490|1608|Cazenovia|01/23/1980|
966570|Stony Hill|Summit|NY|36|Albany|001|423536N|0735417W|42.5934122|-73.904848|||||163|535|Clarksville|01/23/1980|
966626|Stratton Hill|Summit|NY|36|Clinton|019|444849N|0732822W|44.8136516|-73.4729135|||||89|292|Beekmantown|01/23/1980|
966628|Strawberry Hill|Summit|NY|36|Putnam|079|412008N|0735103W|41.3356495|-73.850969|||||197|646|Mohegan Lake|01/23/1980|
966635|Streeter Hill|Summit|NY|36|Delaware|025|422823N|0744324W|42.4731334|-74.7232086|||||604|1982|Harpersfield|01/23/1980|
966642|Strong Hill|Summit|NY|36|Livingston|051|423620N|0773957W|42.6056218|-77.665828|||||573|1880|Dansville|01/23/1980|
966655|Studley Hill|Summit|NY|36|Franklin|033|444043N|0741409W|44.6786624|-74.2357151|||||610|2001|Owls Head|01/23/1980|
966664|Sturdevant Hill|Summit|NY|36|Chautauqua|013|415943N|0791008W|41.995336|-79.1689365|||||495|1624|Russell|01/23/1980|10/22/2015
966669|Sturges Hill|Summit|NY|36|Hamilton|041|433026N|0742234W|43.5072897|-74.3759783|||||654|2146|Page Mountain|01/23/1980|
966695|Sucker Hole Hill|Summit|NY|36|Essex|031|435204N|0734048W|43.867838|-73.680128|||||410|1345|Pharaoh Mountain|01/23/1980|
966707|Sugar Hill|Summit|NY|36|Schuyler|097|422122N|0765920W|42.3561844|-76.9888538|||||554|1818|Beaver Dams|01/23/1980|
966708|Sugar Hill|Summit|NY|36|Essex|031|435117N|0734315W|43.8547833|-73.7209624|||||347|1138|Pharaoh Mountain|01/23/1980|
966709|Sugar Hill|Summit|NY|36|Essex|031|435617N|0732603W|43.9381133|-73.4342886|||||153|502|Crown Point|01/23/1980|
966710|Sugar Hill|Summit|NY|36|Essex|031|442010N|0733450W|44.3361598|-73.5806903|||||461|1512|Lewis|01/23/1980|
966711|Sugar Hill|Summit|NY|36|Franklin|033|442543N|0742159W|44.4286691|-74.3662744|||||651|2136|Saint Regis Mountain|01/23/1980|
966712|Sugar Hill|Summit|NY|36|Clinton|019|443344N|0734345W|44.5622673|-73.7290303|||||458|1503|Peasleeville|01/23/1980|
966713|Sugar Hill|Summit|NY|36|Franklin|033|443943N|0740943W|44.6619938|-74.1618214|||||616|2021|Owls Head|01/23/1980|
966714|Sugar Hill|Summit|NY|36|Franklin|033|444148N|0742053W|44.6967205|-74.3479422|||||571|1873|Lake Titus|01/23/1980|
966723|Sugarloaf Hill|Summit|NY|36|Putnam|079|412138N|0735646W|41.3606494|-73.9462498|||||225|738|Peekskill|01/23/1980|06/08/2007
966724|Sugarloaf Hill|Summit|NY|36|Columbia|021|421419N|0734244W|42.2386986|-73.7123452|||||114|374|Claverack|01/23/1980|
966725|Sugarloaf Hill|Summit|NY|36|Rensselaer|083|424348N|0732207W|42.730079|-73.368722|||||429|1407|Berlin|01/23/1980|
966746|Sullivan Hill|Summit|NY|36|Essex|031|440453N|0732756W|44.0814432|-73.4656815|||||254|833|Port Henry|01/23/1980|
966754|Sulphur Spring Hill|Summit|NY|36|Wyoming|121|425000N|0780906W|42.8333939|-78.1516792|||||499|1637|Dale|01/23/1980|
966759|Summer Hill|Summit|NY|36|Orange|071|411839N|0740224W|41.3109271|-74.0398642|||||258|846|Popolopen Lake|01/23/1980|
966835|Sunset Hill|Summit|NY|36|Dutchess|027|414215N|0734517W|41.7042606|-73.7548527|||||189|620|Pleasant Valley|01/23/1980|
966836|Sunset Hill|Summit|NY|36|Oneida|065|430213N|0752308W|43.037014|-75.385448|||||197|646|Clinton|01/23/1980|
966837|Sunset Hill|Summit|NY|36|Essex|031|442111N|0733504W|44.3531041|-73.5845796|||||421|1381|Lewis|01/23/1980|
966882|Swan Hill|Summit|NY|36|Schuyler|097|422013N|0764213W|42.3370182|-76.7035614|||||518|1699|Alpine|01/23/1980|
966894|Swart Hill|Summit|NY|36|Montgomery|057|425452N|0740630W|42.9145194|-74.1084617|||||168|551|Pattersonville|01/23/1980|
966914|Sweet Fern Hill|Summit|NY|36|Essex|031|435943N|0733857W|43.9953336|-73.6492958|||||448|1470|Paradox Lake|01/23/1980|
966915|Sweet Hill|Summit|NY|36|Chautauqua|013|420407N|0793105W|42.0686671|-79.5181051|||||569|1867|North Clymer|01/23/1980|
966916|Sweet Hill|Summit|NY|36|Fulton|035|430547N|0744301W|43.0964596|-74.716814|||||355|1165|Oppenheim|01/23/1980|
966934|Swift Hill|Summit|NY|36|Allegany|003|422750N|0781414W|42.4639524|-78.2372343|||||612|2008|Houghton|01/23/1980|
966944|Swiss Hill|Summit|NY|36|Sullivan|105|414625N|0745547W|41.7736995|-74.9296088|||||442|1450|Jeffersonville|01/23/1980|
966962|Symonds Hill|Summit|NY|36|Steuben|101|420343N|0772059W|42.0620168|-77.3497031|||||569|1867|Borden|01/23/1980|
967007|Tallmadge Hill|Summit|NY|36|Tioga|107|420219N|0763041W|42.0386853|-76.5113319|||||434|1424|Waverly|01/23/1980|
967016|Tamarack Hill|Summit|NY|36|Clinton|019|442914N|0734037W|44.4872692|-73.6768064|||||443|1453|Au Sable Forks|01/23/1980|
967040|Tanner Hill|Summit|NY|36|Herkimer|043|430941N|0750355W|43.1614583|-75.0651593|||||475|1558|Newport|01/23/1980|
967069|Tassel Hill|Summit|NY|36|Oneida|065|425627N|0751900W|42.9409034|-75.3165557|||||592|1942|Cassville|01/23/1980|
967088|Taylor Hill|Summit|NY|36|Delaware|025|415250N|0750800W|41.8806434|-75.1332246|||||563|1847|Fishs Eddy|01/23/1980|
967115|Teatown Hill|Summit|NY|36|Westchester|119|411238N|0735025W|41.2106502|-73.8404132|||||163|535|Ossining|01/23/1980|
967126|Teller Hill|Summit|NY|36|Rensselaer|083|423625N|0734404W|42.6070243|-73.7345647|||||122|400|East Greenbush|01/23/1980|
967129|Temperance Hill|Summit|NY|36|Genesee|037|425921N|0780659W|42.9892271|-78.1164036|||||296|971|Stafford|01/23/1980|
967172|Terre Hill|Summit|NY|36|Onondaga|067|430833N|0761105W|43.1425675|-76.1846479|||||150|492|Brewerton|01/23/1980|
967182|Texas Hill|Summit|NY|36|Columbia|021|421227N|0733601W|42.2075887|-73.6003973|||||362|1188|Hillsdale|01/23/1980|
967183|Texas Hill|Summit|NY|36|Madison|053|424504N|0754205W|42.7511787|-75.7012978|||||603|1978|West Eaton|01/23/1980|
967230|The Dam Hill|Summit|NY|36|Essex|031|434700N|0734140W|43.7833967|-73.6945715|||||404|1325|Pharaoh Mountain|01/23/1980|
967263|The Hill|Summit|NY|36|Columbia|021|421039N|0734455W|42.1775885|-73.7487367|||||107|351|Claverack|01/23/1980|
967364|Third Burnt Hill|Summit|NY|36|Clinton|019|442742N|0735406W|44.4617141|-73.9015342|||||625|2051|Franklin Falls|01/23/1980|
967398|Thomas Hill|Summit|NY|36|Onondaga|067|425543N|0760646W|42.9286776|-76.1127018|||||396|1299|Jamesville|01/23/1980|
967399|Thomas Hill|Summit|NY|36|Hamilton|041|431650N|0740848W|43.2806265|-74.1467986|||||523|1716|Hope Falls|01/23/1980|
967431|Thorn Hill|Summit|NY|36|Washington|115|433123N|0731744W|43.5231241|-73.2956653|||||357|1171|Thorn Hill|01/23/1980|
967481|Thunder Hill|Summit|NY|36|Sullivan|105|415005N|0743434W|41.8348141|-74.5759912|||||685|2247|Grahamsville|01/23/1980|
967517|Tiffany Hill|Summit|NY|36|Columbia|021|420211N|0734331W|42.0364801|-73.7254054|||||299|981|Ancram|01/23/1980|
967522|Tildon Hill|Summit|NY|36|Allegany|003|422652N|0774543W|42.4478456|-77.7619399|||||555|1821|Canaseraga|01/23/1980|
967530|Tilman Hill|Summit|NY|36|Chemung|015|420241N|0763551W|42.0447963|-76.5974467|||||524|1719|Waverly|01/23/1980|
967539|Timmerman Hill|Summit|NY|36|Greene|039|421056N|0735650W|42.182311|-73.9473548|||||181|594|Cementon|01/23/1980|
967543|Tink Hill|Summit|NY|36|Sullivan|105|412758N|0744714W|41.466203|-74.7871085|||||427|1401|Pond Eddy|01/23/1980|
967544|Tinker Hill|Summit|NY|36|Putnam|079|412338N|0734945W|41.3939826|-73.8293013|||||285|935|Oscawana Lake|01/23/1980|
967549|Tinselor Hill|Summit|NY|36|Madison|053|425153N|0754738W|42.8647892|-75.7938005|||||590|1936|Erieville|01/23/1980|
967562|Titus Hill|Summit|NY|36|Wyoming|121|424951N|0780700W|42.8308941|-78.1166782|||||464|1522|Wyoming|01/23/1980|
967563|Titus Hill|Summit|NY|36|Delaware|025|422928N|0744336W|42.4911883|-74.7265417|||||636|2087|Harpersfield|01/23/1980|
967589|Tobes Hill|Summit|NY|36|Steuben|101|422048N|0773737W|42.3467365|-77.6269349|||||598|1962|Hornell|01/23/1980|
967598|Todt Hill|Summit|NY|36|Richmond|085|403608N|0740644W|40.6023265|-74.1120866|||||113|371|The Narrows|01/23/1980|01/15/2008
